tt0120347007 Tomorrow Never Dies                                                                                                 No                       Testosterone
tt014780010 Things I Hate About You                                                                                              Maybe                    Comedy
tt0044008A Christmas Carol(Alastair Sim)                                                                                         Yes       Good           Christmas
tt0087056A Christmas Carol(George C. Scott)                                                                                      Maybe                    Christmas
tt0085334A Christmas Story                                                                                                       Yes       Good           Christmas
tt0120633A Civil Action                                                                                                          No                       Drama
tt0295289A Guy Thing                                                                                                             No                       Comedy
tt0101414A Walt Disney Classic Beauty and the Beast                                                                              Yes       Good           Disney
tt0119282A Walt Disney Masterpiece Hercules                                                                                      Yes       Good           Disney
tt0065421A Walt Disney Masterpiece The Aristocats                                                                                Yes       Meh            Disney
tt0116583A Walt Disney Masterpiece The Hunchback of Notre Dame                                                                   No                       Disney
tt0110357A Walt Disney Masterpiece The Lion King                                                                                 Yes       Good           Disney
tt0118571Air Force One                                                                                                           Yes                      Testosterone
tt0096787All Dogs Go To Heaven                                                                                                   No                       Family
tt0169547American Beauty                                                                                                         Yes                      Drama
tt0163651American Pie                                                                                                            Yes       Good           Comedy
tt0133372Annabelle's Wish                                                                                                        No                       Christmas
tt0101355Another Pair of Aces                                                                                                    No                       Testosterone
tt0120591Armageddon                                                                                                              Maybe                    Testosterone
tt0119822As Good as It Gets                                                                                                      Maybe                    Comedy
tt0132512At First Sight                                                                                                          Maybe                    Estrogen
tt0112431Babe                                                                                                                    Yes       Good           Family
tt0101393Backdraft                                                                                                               Maybe                    Testosterone
tt0112442Bad Boys                                                                                                                No                       Testosterone
tt0103772Basic Instinct                                                                                                          Yes                      Mystery
tt0094715Beaches                                                                                                                 Yes                      Comedy
tt0103786Beethoven                                                                                                               No                       Family
tt0106375Beethoven's 2nd                                                                                                         No                       Family
tt0109254Beverly Hills Cop III                                                                                                   Maybe                    Testosterone
tt0066831Big Jake                                                                                                                Yes       Good           Testosterone
tt0101455Bingo                                                                                                                   No                       Family
tt0112573Braveheart                                                                                                              Yes                      Testosterone
tt0094812Bull Durham                                                                                                             No                       Testosterone
tt0115783Bulletproof                                                                                                             No                       Comedy
tt0150488Busted                                                                                                                  No                       Testosterone
tt0112606Bye Bye Love                                                                                                            Maybe                    Comedy
tt0061439Camelot                                                                                                                 Yes       Bad            Musical
